date,team1,team2,team1players,team2players,team1score,team2score,winner,url
2021-06-05 07:00:00,Beamer Boys,Mindfreak,"['JayZee', 'Lampizzl', 'Porzin', 'Cones']","['Osprey', 'Jazhn', 'ManOfChicken', 'Middoh']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FAsia_Pacific
2021-06-05 07:00:00,Team Gallium,Chiefs eSports Club,"['Imagine', 'Slevv', 'Sponsord', 'Hyparz']","['Swifty', 'Crimzah', 'Setzyy', 'Zepa']",1,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FAsia_Pacific
2021-06-05 19:00:00,Toronto Ultra,London Royal Ravens,"['Insight', 'Cammy', 'Bance', 'CleanX', 'Methodz']","['Alexx', 'Afro', 'PaulEhx', 'Seany', 'Dylan']",3,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_League%2FSeason_2%2FStage_4
2021-06-05 19:00:00,Team WaR,Hot Tub Hotties,"['YaKo', 'Lucky', 'MettalZ', 'JurNii']","['Zer0', 'Defrag', 'Nolson', 'Joee']",1,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-05 19:00:00,SpanishSnake,The Originals,"['Divvxll', 'Shaun', 'Snake', 'Eleven']","['Rafi', 'Grad', 'Furiious', 'Hawqeh']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-05 19:00:00,Lolpissoff,Amelia Strays,"['Joshh', 'Frometic', 'Dqvee', 'Henry']","['Chaaxter', 'Piero', 'Watson', 'NukeJ']",1,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-05 19:00:00,A creative name,Orgless,"['Genesis', 'Peatie', 'Chain', 'Wailers']","['Nastie', 'Gismo', 'Harry', 'Vortex']",1,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-05 22:00:00,Minnesota RØKKR,Seattle Surge,"['Attach', 'Priestahh', 'Standy', 'MajorManiak', 'Accuracy']","['Octane', 'Gunless', 'Prestinni', 'Classic', 'Loony']",3,1,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_League%2FSeason_2%2FStage_4
2021-06-06 01:30:00,Mindfreak,KAKA,"['Osprey', 'Jazhn', 'ManOfChicken', 'Middoh']","['Crimzah', 'CronusKun', 'Lymax', 'Immense']",3,2,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FAsia_Pacific
2021-06-06 01:30:00,Renegades,Team Gallium,"['Fighta', 'Louqa', 'Pred', 'Shockz']","['Imagine', 'Slevv', 'Sponsord', 'Hyparz']",3,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FAsia_Pacific
2021-06-06 01:30:00,Replyd n co,Beamer Boys,"['BuZZO', 'Replyd', 'JamesJHR', 'Alkazaah']","['JayZee', 'Lampizzl', 'Porzin', 'Cones']",1,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FAsia_Pacific
2021-06-06 01:30:00,Nikola Goatic,Chiefs eSports Club,"['Danelkoo', 'DOOMED', 'Dellemaa', 'PotatoWiFi']","['Swifty', 'Crimzah', 'Setzyy', 'Zepa']",0,3,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FAsia_Pacific
2021-06-06 03:00:00,WestR,UT Crew,"['Yeezy', 'Fire', 'Hamza', 'Parasite']","['Phantomz', 'Methodz', 'Slacked', 'Wrecks']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FNorth_America
2021-06-06 03:00:00,Trash Bros,The System,"['Cells', 'Jintroid', 'Uli', 'Hollow']","['Zinx', 'Decemate', 'FeLo', 'Zed']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FNorth_America
2021-06-06 03:00:00,Top Prospects,North Ends,"['Prolute', 'Accuracy', 'Saints', 'Spart']","['Royalty', 'Davpadie', 'Diamondcon', 'Xotic']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FNorth_America
2021-06-06 03:00:00,Hackers,Los Angeles Guerrillas Academy,"['Mohak', 'Cryptic', 'Scrappy', 'Gunsiii']","['Maux', 'Exceed', 'MentaL', 'Nero']",1,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FNorth_America
2021-06-06 03:30:00,KAKA,Chiefs eSports Club,"['Crimzah', 'CronusKun', 'Lymax', 'Immense']","['Swifty', 'Crimzah', 'Setzyy', 'Zepa']",1,3,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FAsia_Pacific
2021-06-06 03:30:00,Team Gallium,Replyd n co,"['Imagine', 'Slevv', 'Sponsord', 'Hyparz']","['BuZZO', 'Replyd', 'JamesJHR', 'Alkazaah']",3,1,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FAsia_Pacific
2021-06-06 03:30:00,Renegades,Mindfreak,"['Fighta', 'Louqa', 'Pred', 'Shockz']","['Osprey', 'Jazhn', 'ManOfChicken', 'Middoh']",3,1,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FAsia_Pacific
2021-06-06 05:00:00,Chiefs eSports Club,Team Gallium,"['Swifty', 'Crimzah', 'Setzyy', 'Zepa']","['Imagine', 'Slevv', 'Sponsord', 'Hyparz']",3,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FAsia_Pacific
2021-06-06 06:30:00,Mindfreak,Chiefs eSports Club,"['Osprey', 'Jazhn', 'ManOfChicken', 'Middoh']","['Swifty', 'Crimzah', 'Setzyy', 'Zepa']",3,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FAsia_Pacific
2021-06-06 09:30:00,Renegades,Chiefs eSports Club,"['Fighta', 'Louqa', 'Pred', 'Shockz']","['Swifty', 'Crimzah', 'Setzyy', 'Zepa']",3,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FAsia_Pacific
2021-06-06 11:00:00,Team WaR,Orgless,"['YaKo', 'Lucky', 'MettalZ', 'JurNii']","['Nastie', 'Gismo', 'Harry', 'Vortex']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-06 11:00:00,The Originals,Lolpissoff,"['Rafi', 'Grad', 'Furiious', 'Hawqeh']","['Joshh', 'Frometic', 'Dqvee', 'Henry']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-06 11:00:00,SpanishSnake,Amelia Strays,"['Divvxll', 'Shaun', 'Snake', 'Eleven']","['Chaaxter', 'Piero', 'Watson', 'NukeJ']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-06 11:00:00,Hot Tub Hotties,A creative name,"['Zer0', 'Defrag', 'Nolson', 'Joee']","['Genesis', 'Peatie', 'Chain', 'Wailers']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-06 13:00:00,Lolpissoff,Team WaR,"['Joshh', 'Frometic', 'Dqvee', 'Henry']","['YaKo', 'Lucky', 'MettalZ', 'JurNii']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-06 13:00:00,Team WaR,Amelia Strays,"['YaKo', 'Lucky', 'MettalZ', 'JurNii']","['Chaaxter', 'Piero', 'Watson', 'NukeJ']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-06 13:00:00,The Originals,A creative name,"['Rafi', 'Grad', 'Furiious', 'Hawqeh']","['Genesis', 'Peatie', 'Chain', 'Wailers']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-06 14:30:00,Amelia Strays,A creative name,"['Chaaxter', 'Piero', 'Watson', 'NukeJ']","['Genesis', 'Peatie', 'Chain', 'Wailers']",1,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-06 16:00:00,Lolpissoff,Amelia Strays,"['Joshh', 'Frometic', 'Dqvee', 'Henry']","['Chaaxter', 'Piero', 'Watson', 'NukeJ']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-06 17:00:00,Los Angeles Guerrillas Academy,WestR,"['Maux', 'Exceed', 'MentaL', 'Nero']","['Yeezy', 'Fire', 'Hamza', 'Parasite']",1,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FNorth_America
2021-06-06 17:00:00,Top Prospects,Trash Bros,"['Prolute', 'Accuracy', 'Saints', 'Spart']","['Cells', 'Jintroid', 'Uli', 'Hollow']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FNorth_America
2021-06-06 17:00:00,Hackers,UT Crew,"['Mohak', 'Cryptic', 'Scrappy', 'Gunsiii']","['Phantomz', 'Methodz', 'Slacked', 'Wrecks']",1,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FNorth_America
2021-06-06 17:00:00,North Ends,The System,"['Royalty', 'Davpadie', 'Diamondcon', 'Xotic']","['Zinx', 'Decemate', 'FeLo', 'Zed']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FNorth_America
2021-06-06 17:30:00,Orgless,Amelia Strays,"['Nastie', 'Gismo', 'Harry', 'Vortex']","['Chaaxter', 'Piero', 'Watson', 'NukeJ']",1,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FEurope
2021-06-06 19:00:00,North Ends,WestR,"['Royalty', 'Davpadie', 'Diamondcon', 'Xotic']","['Yeezy', 'Fire', 'Hamza', 'Parasite']",1,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FNorth_America
2021-06-06 19:00:00,Hackers,The System,"['Mohak', 'Cryptic', 'Scrappy', 'Gunsiii']","['Zinx', 'Decemate', 'FeLo', 'Zed']",1,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FNorth_America
2021-06-06 19:00:00,UT Crew,Trash Bros,"['Phantomz', 'Methodz', 'Slacked', 'Wrecks']","['Cells', 'Jintroid', 'Uli', 'Hollow']",0,1,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FCup_16%2FNorth_America
